id,total,asian,black,hispanic,white,indian_american,indian_american
244241315,432,3,170,195,43,0,0
246500791,11,0,5,1,5,0,0
246688915,68,0,25,9,32,0,1
247748351,2,0,1,1,0,0,0
248441434,2,0,0,1,1,0,0
248441435,1,0,0,0,1,0,0
249839414,2,0,0,0,2,0,0
249847886,2,0,0,1,1,0,0
250047319,1,0,0,0,1,0,0
250053393,10,0,3,1,6,0,0
250053394,1,0,0,0,0,0,0
250061067,2,0,0,0,2,0,0
250071477,4,0,1,0,3,0,0
250124817,28,0,8,5,11,0,1
250139470,4,0,3,0,1,0,0
250229042,1,0,1,0,0,0,0
251439305,4,0,2,2,0,0,0
251440506,9,0,7,1,1,0,0
251492050,1,0,1,0,0,0,0
251493840,1,0,0,1,0,0,0
251493841,21,0,5,2,12,0,0
251493842,1,0,1,0,0,0,0
252177576,2,0,2,0,0,0,0
252177580,2,0,0,0,2,0,0
253652158,1,0,0,0,1,0,0
254299035,2,0,1,0,1,0,0
255667897,946,4,468,127,304,1,1
25591373,2,0,0,0,2,0,0
25626369,32,0,10,0,21,0,1
25626378,21,0,3,1,16,1,0
261123569,27,0,4,3,18,0,1
261126245,39,0,19,16,3,0,0
261142519,1,0,1,0,0,0,0
261142520,1,0,0,1,0,0,0
261473924,22,0,8,9,5,0,0
262198023,1,0,0,0,1,0,0
262279524,1,0,1,0,0,0,0
262432608,7,0,5,0,2,0,0
262432609,3,0,3,0,0,0,0
262440553,1,0,0,1,0,0,0
262788249,3,0,0,0,3,0,0
263279594,1,0,0,0,0,0,0
263279595,3,0,0,0,3,0,0
26428901,10,2,3,3,1,0,0
265282881,1,0,1,0,0,0,0
267076782,16,0,15,0,0,0,0
272839561,6,0,6,0,0,0,0
272921274,6,0,6,0,0,0,0
272972171,6,2,2,0,2,0,0
272972172,10,0,1,0,8,0,0
27319202,1,0,0,0,1,0,0
273204181,11,0,9,0,1,0,1
273204182,21,0,10,4,6,0,0
273204183,45,1,26,2,14,0,0
273204184,60,1,42,7,5,0,0
274032882,1,0,1,0,0,0,0
274475986,22,1,2,1,17,1,0
274676621,1,0,0,1,0,0,0
275872114,1,0,1,0,0,0,0
275872118,3,0,3,0,0,0,0
27589748,3,0,1,2,0,0,0
27589761,5,0,2,0,3,0,0
276164437,3,0,1,1,1,0,0
276164438,10,0,7,3,0,0,0
276201147,223,0,191,18,5,0,0
276449845,38,0,33,2,3,0,0
276561830,2,0,2,0,0,0,0
277176855,107,0,78,12,9,0,0
277434242,2,0,1,0,1,0,0
277672707,1,0,0,1,0,0,0
27785071,2,0,1,0,1,0,0
277957942,11,0,11,0,0,0,0
278429355,49,0,41,2,6,0,0
278429357,260,0,202,23,29,0,1
27919639,1,0,1,0,0,0,0
279666415,72,0,58,7,6,0,0
279666416,31,0,24,3,3,0,1
279666417,126,0,95,10,19,0,0
279666418,111,0,95,4,8,0,1
279666419,149,0,116,14,10,0,0
279666894,105,0,79,12,9,0,0
279666895,282,1,198,43,12,0,1
280669298,1,0,0,0,1,0,0
281487745,27,0,4,13,10,0,0
283882659,1,0,0,0,1,0,0
284675053,18,0,15,1,2,0,0
284846494,6,1,0,1,3,0,0
285001939,134,1,106,9,16,0,0
28571184,8,0,6,1,0,0,0
28571558,73,3,38,6,24,0,0
28571662,9,0,8,0,1,0,0
28571842,9,0,5,4,0,0,0
28583860,37,0,28,2,6,0,0
28583969,224,1,178,10,22,0,0
28615813,5,0,1,1,3,0,0
28615836,4,0,2,0,2,0,0
28640066,14,0,9,1,2,0,0
28640216,85,1,6,6,68,0,0
28640225,51,0,10,3,35,0,0
28640227,51,0,3,3,43,0,0
28640239,4,0,2,0,2,0,0
28640254,22,1,10,2,8,0,0
28640296,38,1,5,2,30,0,0
28640372,104,1,10,0,91,0,2
28640381,5,0,1,0,4,0,0
28640389,2,0,0,0,2,0,0
28640407,4,0,1,0,3,0,0
28640408,24,0,1,4,19,0,0
28640418,52,0,13,6,31,0,1
28640419,14,0,5,2,7,0,0
28640423,29,0,11,5,12,0,0
28640474,2,0,0,0,2,0,0
28640475,3,0,0,1,2,0,0
28640493,1,0,0,0,1,0,0
286489353,3,0,1,0,2,0,0
286489354,1,0,1,0,0,0,0
286613023,8,0,4,0,3,0,0
286654274,3,0,0,1,2,0,0
286661331,2,0,2,0,0,0,0
288990806,1,0,0,0,1,0,0
288991201,2,0,1,0,1,0,0
288994038,1,0,0,0,1,0,0
288994532,2,0,2,0,0,0,0
289323296,2,0,2,0,0,0,0
289323297,85,0,73,4,7,0,0
289323298,32,0,30,0,1,0,0
289323299,1,0,0,0,1,0,0
289456617,6,0,1,0,5,0,0
289462374,3,0,1,0,2,0,0
289462997,2,0,0,0,2,0,0
289463558,2,0,1,0,1,0,0
289468194,15,0,4,0,11,0,0
289631068,4,0,1,0,2,0,0
289654498,37,5,11,5,16,0,0
290046708,2,0,0,0,2,0,0
290048940,2,0,2,0,0,0,0
290074777,1,0,1,0,0,0,0
290074778,1,0,1,0,0,0,0
29018127,8,0,0,0,6,0,0
290281676,1,0,1,0,0,0,0
290281727,5,0,3,0,2,0,0
290281728,7,0,1,1,4,1,0
290286123,7,0,0,2,4,0,0
290287162,3,0,0,3,0,0,0
290288293,2,0,1,0,0,0,0
290288297,2,0,1,0,1,0,0
290288885,14,0,3,5,6,0,0
290288886,6,0,0,5,1,0,0
290288888,9,0,1,3,3,0,1
290292466,15,1,3,3,8,0,0
290292467,219,2,26,57,125,0,2
290292468,2,0,0,2,0,0,0
290292472,18,0,3,4,9,0,2
290293559,5,0,3,2,0,0,0
290293560,18,0,6,3,9,0,0
29029637,1,0,1,0,0,0,0
290300541,6,0,0,1,4,0,0
290301106,11,0,6,1,2,0,2
290588966,10,0,2,7,1,0,0
290590161,11,0,1,4,4,0,2
290590162,17,0,5,5,5,0,0
290590164,2,0,0,1,1,0,0
290590166,11,0,3,3,5,0,0
290590167,34,0,10,9,9,0,3
290592268,10,2,1,4,3,0,0
290701537,2,0,0,0,1,0,0
290701539,2,0,1,1,0,0,0
290701541,4,0,1,1,2,0,0
290701542,81,0,20,10,45,0,1
290701543,23,1,10,3,8,0,0
290701544,7,0,6,0,1,0,0
290765573,20,1,2,7,9,0,0
29078318,2,0,2,0,0,0,0
290927723,3,0,0,1,2,0,0
290927733,17,0,1,1,14,0,0
29100339,91,9,37,4,40,0,0
291233081,2,0,0,0,2,0,0
291286382,1,0,0,1,0,0,0
